2023-12-10 19:11:00,831 INFO ------------------Epoch: 1/15 start------------------
2023-12-10 19:15:27,129 INFO step 152: tp = 3.0, fp = 4.0, tn = 12.0, fn = 13.0, acc = 0.4688, mcc = -0.075593 
2023-12-10 19:15:27,788 INFO step 153: tp = 6.0, fp = 6.0, tn = 8.0, fn = 12.0, acc = 0.4375, mcc = -0.097590 
2023-12-10 19:15:28,380 INFO step 154: tp = 6.0, fp = 10.0, tn = 8.0, fn = 8.0, acc = 0.4375, mcc = -0.125988 
2023-12-10 19:15:45,599 INFO eval tp = 136.0, fp = 136.0, tn = 194.0, fn = 174.0
2023-12-10 19:15:45,599 INFO epoch 0,eval_time: 16.87 secs, eval_samples: 640.0
 eval_acc = 0.5156, eval_mcc = 0.026880 
2023-12-10 19:15:45,600 INFO new best model saved
2023-12-10 19:15:45,616 INFO ------------------Epoch: 2/15 start------------------
2023-12-10 19:15:53,795 INFO step 155: tp = 4.0, fp = 8.0, tn = 12.0, fn = 8.0, acc = 0.5000, mcc = -0.066667 
2023-12-10 19:16:04,588 INFO step 156: tp = 5.0, fp = 10.0, tn = 8.0, fn = 9.0, acc = 0.4062, mcc = -0.197242 
2023-12-10 19:16:11,340 INFO step 157: tp = 10.0, fp = 4.0, tn = 6.0, fn = 12.0, acc = 0.5000, mcc = 0.050965 
2023-12-10 19:16:20,624 INFO step 158: tp = 8.0, fp = 7.0, tn = 6.0, fn = 11.0, acc = 0.4375, mcc = -0.115553 
2023-12-10 19:16:24,188 INFO step 159: tp = 8.0, fp = 7.0, tn = 10.0, fn = 7.0, acc = 0.5625, mcc = 0.121569 
2023-12-10 19:16:25,875 INFO step 160: tp = 12.0, fp = 7.0, tn = 4.0, fn = 9.0, acc = 0.5000, mcc = -0.062797 
2023-12-10 19:16:26,013 INFO step/epoch: 160/2, training samples: 5152, train_loss = 10.0249 train_acc = 0.490877
2023-12-10 19:16:29,662 INFO step 161: tp = 8.0, fp = 7.0, tn = 8.0, fn = 9.0, acc = 0.5000, mcc = 0.003922 
2023-12-10 19:16:33,048 INFO step 162: tp = 11.0, fp = 11.0, tn = 4.0, fn = 6.0, acc = 0.4688, mcc = -0.092884 
2023-12-10 19:16:35,056 INFO step 163: tp = 13.0, fp = 11.0, tn = 6.0, fn = 2.0, acc = 0.5938, mcc = 0.253086 
2023-12-10 19:16:38,229 INFO step 164: tp = 15.0, fp = 10.0, tn = 3.0, fn = 4.0, acc = 0.5625, mcc = 0.024049 
2023-12-10 19:16:39,959 INFO step 165: tp = 12.0, fp = 11.0, tn = 1.0, fn = 8.0, acc = 0.4062, mcc = -0.340975 
2023-12-10 19:16:42,698 INFO step 166: tp = 11.0, fp = 8.0, tn = 6.0, fn = 7.0, acc = 0.5312, mcc = 0.040082 
2023-12-10 19:16:44,029 INFO step 167: tp = 11.0, fp = 15.0, tn = 4.0, fn = 2.0, acc = 0.4688, mcc = 0.071321 
